County Name,State,FIPS County Code,Link,url,q1_credit,credit_percent
MATANUSKA-SUSITNA,AK,2170,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002170,"<span class=""series-meta-observation-value"">19.29466</span>",19.29466
NOME,AK,2180,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002180,"<span class=""series-meta-observation-value"">25.33333</span>",25.33333
NORTH SLOPE BOROUH,AK,2185,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002185,"<span class=""series-meta-observation-value"">26.96078</span>",26.96078
NORTHWEST ARTIC BOROUGH,AK,2188,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002188,"<span class=""series-meta-observation-value"">30.53892</span>",30.53892
PETERSBURG BOROUGH,AK,2195,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002195,"<span class=""series-meta-observation-value"">16.12903</span>",16.12903
PR.OF WALES-HYDER CNS AREA,AK,2198,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002198,"<span class=""series-meta-observation-value"">14.63415</span>",14.63415
SITKA BOROUGH,AK,2220,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002220,"<span class=""series-meta-observation-value"">11.32075</span>",11.32075
SKAGWAY-YAKUTAT,AK,2230,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002230,"<span class=""series-meta-observation-value"">5.88235</span>",5.88235
SOUTHEAST FAIRBANKS,AK,2240,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002240,"<span class=""series-meta-observation-value"">11.63793</span>",11.63793
VALDEZ-CORDOVA,AK,2261,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002261,"<span class=""series-meta-observation-value"">14.09214</span>",14.09214
WADE HAMPTON,AK,2270,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002270,"<span class=""series-meta-observation-value"">29.51807</span>",29.51807
WRANGELL CITY AND BOROUGH,AK,2275,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002275,"<span class=""series-meta-observation-value"">9.87654</span>",9.87654
YAKUTAT BOROUGH,AK,2282,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002282,"<span class=""series-meta-observation-value"">27.27273</span>",27.27273
YUKON-KOYUKUK,AK,2290,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002290,"<span class=""series-meta-observation-value"">28.66667</span>",28.66667
STATEWIDE,AK,2990,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME002990,,
APACHE,AZ,4001,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME004001,"<span class=""series-meta-observation-value"">49.90602</span>",49.90602
COCHISE,AZ,4003,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME004003,"<span class=""series-meta-observation-value"">21.87265</span>",21.87265
COCONINO,AZ,4005,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME004005,"<span class=""series-meta-observation-value"">25.16038</span>",25.16038
GILA,AZ,4007,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME004007,"<span class=""series-meta-observation-value"">20.38273</span>",20.38273
GRAHAM,AZ,4009,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME004009,"<span class=""series-meta-observation-value"">24.65753</span>",24.65753
GREENLEE,AZ,4011,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME004011,"<span class=""series-meta-observation-value"">26.19808</span>",26.19808
LAPAZ,AZ,4012,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME004012,"<span class=""series-meta-observation-value"">24.74378</span>",24.74378
MARICOPA,AZ,4013,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME004013,"<span class=""series-meta-observation-value"">23.27985</span>",23.27985
MOHAVE,AZ,4015,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME004015,"<span class=""series-meta-observation-value"">21.85826</span>",21.85826
NAVAJO,AZ,4017,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME004017,"<span class=""series-meta-observation-value"">33.99582</span>",33.99582
PIMA,AZ,4019,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME004019,"<span class=""series-meta-observation-value"">22.50870</span>",22.50870
PINAL,AZ,4021,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME004021,"<span class=""series-meta-observation-value"">26.54216</span>",26.54216
